#,The tool improves the quality of my work,The tool gives me greater control over my work,I am more productive with the tool,The tool makes my job easier,,,,,,
ay6wo5w9xbayvy7x3o5fjay6wohlqdvr,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,5,5,5,5
fe0r786caug6el1x5fe0r78b04gujd16,Boarderline,Boarderline,Boarderline,Boarderline,,,3,3,3,3
06m67xx8b0vhjeft006m67xk6vxe07r2,Agree,Strongly agree,Agree,Agree,,,4,5,4,4
xlpz5y7zrvjdgyxlpz5y2j1qwu21ejoa,Agree,Agree,Agree,Agree,,,4,4,4,4
8qa413t5jw4wgu5sdb8qa4sn5dbt17xn,Agree,Agree,Agree,Agree,,,4,4,4,4
b8h9f1imap7nj2bhx1ap280rohdjq2nh,Boarderline,Boarderline,Strongly agree,Strongly agree,,,3,3,5,5
dn2sht4ers63ny7w5p3odn2shbskyf77,Strongly agree,Strongly agree,Agree,Strongly agree,,,5,5,4,5
v3vbyjwabmvm7v5d4ir6v3vbyhwlmhhk,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,5,5,5,5
2kr7yvcrdjacb4jxf1d2kr7yvmmc2gqo,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,5,5,5,5
dy0ceyfx1r04j6se5dy0ceyok0r3inga,Agree,Boarderline,Strongly agree,Strongly agree,,,4,3,5,5
l07ulh4vwlg3jovg2l07ul9jx88qqg9y,Strongly agree,Boarderline,Agree,Strongly agree,,,5,3,4,5
04cu0z249u6m8vrjen9coh04cu0zmapt,Agree,Agree,Agree,Strongly agree,,,4,4,4,5
putb1beq6mjq758o6bdputb1x8y4hylz,Strongly agree,Agree,Strongly agree,Strongly agree,,,5,4,5,5
1j89z3dq3ulz3p1j8jwzcte7dt2ljubd,Strongly agree,Agree,Agree,Strongly agree,,,5,4,4,5
44ajakjzpufz44twmsnyq00j3v7lrc2t,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,5,5,5,5
zhonnzcvbxxn2m3zho0hv7i62o3yvio7,Agree,Agree,Agree,Agree,,,4,4,4,4
fex1qudo62tiofkn1pfex1qudos1fjig,Agree,Agree,Agree,Strongly agree,,,4,4,4,5
zakvbakq5fenndjf2qvzakvbakcbrayd,Agree,Strongly agree,Strongly agree,Strongly agree,,,4,5,5,5
hlcjuxi45pqlt8hlcju5w6185g75lfnd,Agree,Agree,Agree,Agree,,,4,4,4,4
,,,,,,,,,,
,,,,,,,4.315789474,4.157894737,4.368421053,4.631578947
,,,,,,,0.671038298,0.764719113,0.59726472,0.59726472
,,,,,,,,,,
,,,,,,,72.89502351,67.86351248,75.42312665,80.68628454
,,,,,,,26.84153193,30.58876452,23.89058881,23.89058881
,,,,,,,86.31578947,83.15789474,87.36842105,92.63157895
